event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2016-01-24 22:12:00.000,2016-01-24 22:17:00.000,2016-01-24 22:22:00.000,B7.4,2488
2016-01-25 06:50:00.000,2016-01-25 06:54:00.000,2016-01-25 07:01:00.000,B8.0,0
2016-01-25 06:50:00.000,2016-01-25 06:54:00.000,2016-01-25 07:01:00.000,B8.0,0
2016-01-25 07:52:00.000,2016-01-25 07:54:00.000,2016-01-25 07:57:00.000,B4.9,0
2016-01-25 08:14:00.000,2016-01-25 08:17:00.000,2016-01-25 08:20:00.000,B4.6,0
2016-01-25 09:00:00.000,2016-01-25 09:07:00.000,2016-01-25 09:11:00.000,C1.4,0
2016-01-25 10:27:00.000,2016-01-25 10:33:00.000,2016-01-25 10:35:00.000,C1.0,2489
2016-01-25 12:58:00.000,2016-01-25 13:11:00.000,2016-01-25 13:30:00.000,B8.0,2490
2016-01-25 13:55:00.000,2016-01-25 13:56:00.000,2016-01-25 13:57:00.000,B5.2,2488
2016-01-25 21:54:00.000,2016-01-25 21:58:00.000,2016-01-25 22:01:00.000,B4.7,2490
2016-01-26 01:57:00.000,2016-01-26 02:01:00.000,2016-01-26 02:04:00.000,B5.3,2489
2016-01-26 03:01:00.000,2016-01-26 03:05:00.000,2016-01-26 03:10:00.000,B7.3,2489
2016-01-26 04:53:00.000,2016-01-26 04:56:00.000,2016-01-26 04:59:00.000,B5.3,2489
2016-01-26 16:54:00.000,2016-01-26 17:51:00.000,2016-01-26 18:45:00.000,C1.3,0
2016-01-26 17:04:00.000,2016-01-26 17:15:00.000,2016-01-26 18:40:00.000,C1.3,2486
2016-01-26 23:52:00.000,2016-01-27 01:02:00.000,2016-01-27 01:35:00.000,B7.4,2489
2016-01-27 01:36:00.000,2016-01-27 01:48:00.000,2016-01-27 02:06:00.000,B5.8,2489
2016-01-27 05:26:00.000,2016-01-27 05:37:00.000,2016-01-27 05:52:00.000,B9.4,2489
2016-01-27 13:26:00.000,2016-01-27 13:30:00.000,2016-01-27 13:34:00.000,C1.0,2489
2016-01-27 19:22:00.000,2016-01-27 19:27:00.000,2016-01-27 19:33:00.000,B5.3,2490
2016-01-27 20:28:00.000,2016-01-27 20:31:00.000,2016-01-27 20:36:00.000,B5.2,2490
2016-01-28 03:18:00.000,2016-01-28 03:22:00.000,2016-01-28 03:25:00.000,B6.1,2488
2016-01-28 05:17:00.000,2016-01-28 05:23:00.000,2016-01-28 05:28:00.000,C5.3,2488
2016-01-28 06:52:00.000,2016-01-28 07:02:00.000,2016-01-28 07:12:00.000,C2.8,2488
2016-01-28 11:48:00.000,2016-01-28 12:00:00.000,2016-01-28 12:16:00.000,C9.6,2488
2016-01-28 21:48:00.000,2016-01-28 21:57:00.000,2016-01-28 22:02:00.000,C3.3,2488
2016-01-29 03:14:00.000,2016-01-29 03:38:00.000,2016-01-29 04:04:00.000,B8.7,2490
2016-01-29 04:15:00.000,2016-01-29 04:28:00.000,2016-01-29 04:36:00.000,C2.0,2488
2016-01-29 07:57:00.000,2016-01-29 08:18:00.000,2016-01-29 08:26:00.000,C3.5,2488
2016-01-29 08:03:00.000,2016-01-29 08:06:00.000,2016-01-29 08:10:00.000,C1.0,2488
2016-01-29 14:53:00.000,2016-01-29 15:00:00.000,2016-01-29 15:11:00.000,B8.8,2488
2016-01-29 16:33:00.000,2016-01-29 16:41:00.000,2016-01-29 16:49:00.000,C1.2,2488
2016-01-29 17:41:00.000,2016-01-29 17:44:00.000,2016-01-29 17:47:00.000,B4.1,2488
2016-01-29 20:48:00.000,2016-01-29 21:46:00.000,2016-01-29 22:57:00.000,C2.0,2487
2016-01-29 20:51:00.000,2016-01-29 21:43:00.000,2016-01-29 22:40:00.000,C2.0,2487
2016-01-30 21:20:00.000,2016-01-30 21:25:00.000,2016-01-30 21:28:00.000,B9.1,2488
2016-01-31 08:09:00.000,2016-01-31 08:13:00.000,2016-01-31 08:16:00.000,B5.3,2488
2016-01-31 09:56:00.000,2016-01-31 10:02:00.000,2016-01-31 10:07:00.000,B6.0,2488
2016-01-31 15:58:00.000,2016-01-31 16:01:00.000,2016-01-31 16:10:00.000,B4.3,2489
2016-01-31 19:01:00.000,2016-01-31 19:07:00.000,2016-01-31 19:11:00.000,B8.6,2490
2016-01-31 23:41:00.000,2016-01-31 23:44:00.000,2016-01-31 23:47:00.000,B5.6,2490
2016-02-01 01:09:00.000,2016-02-01 01:14:00.000,2016-02-01 01:17:00.000,C1.6,2490
2016-02-01 03:31:00.000,2016-02-01 03:36:00.000,2016-02-01 03:39:00.000,B9.4,2491
2016-02-01 15:15:00.000,2016-02-01 15:22:00.000,2016-02-01 15:29:00.000,B3.9,2489
2016-02-01 16:10:00.000,2016-02-01 16:13:00.000,2016-02-01 16:17:00.000,B3.6,2489
2016-02-02 04:52:00.000,2016-02-02 05:00:00.000,2016-02-02 05:14:00.000,B4.6,2492
2016-02-02 11:25:00.000,2016-02-02 11:30:00.000,2016-02-02 11:37:00.000,B3.6,2492
2016-02-02 14:22:00.000,2016-02-02 14:52:00.000,2016-02-02 15:53:00.000,C1.2,0
2016-02-02 18:34:00.000,2016-02-02 19:02:00.000,2016-02-02 19:36:00.000,B6.5,2491
2016-02-03 02:09:00.000,2016-02-03 02:35:00.000,2016-02-03 02:45:00.000,B7.8,2490
2016-02-03 02:12:00.000,2016-02-03 02:35:00.000,2016-02-03 03:38:00.000,B7.8,2490
2016-02-03 04:39:00.000,2016-02-03 04:59:00.000,2016-02-03 05:24:00.000,B6.8,2490
2016-02-03 04:43:00.000,2016-02-03 04:59:00.000,2016-02-03 05:15:00.000,B6.8,2490
2016-02-03 11:21:00.000,2016-02-03 12:23:00.000,2016-02-03 13:24:00.000,C1.0,2492
2016-02-03 12:03:00.000,2016-02-03 12:23:00.000,2016-02-03 12:42:00.000,C1.0,2492
2016-02-03 14:47:00.000,2016-02-03 14:53:00.000,2016-02-03 14:53:00.000,C1.0,2491
2016-02-03 15:12:00.000,2016-02-03 15:23:00.000,2016-02-03 15:31:00.000,C1.8,0
2016-02-03 16:29:00.000,2016-02-03 16:34:00.000,2016-02-03 16:39:00.000,C1.4,2493
2016-02-03 18:25:00.000,2016-02-03 18:33:00.000,2016-02-03 18:40:00.000,B7.5,2493
2016-02-03 22:05:00.000,2016-02-03 22:10:00.000,2016-02-03 22:17:00.000,C1.1,2493
2016-02-04 02:11:00.000,2016-02-04 02:14:00.000,2016-02-04 02:17:00.000,C1.0,0
2016-02-04 07:09:00.000,2016-02-04 07:13:00.000,2016-02-04 07:16:00.000,C1.1,2490
2016-02-04 09:16:00.000,2016-02-04 09:20:00.000,2016-02-04 09:25:00.000,B8.9,0
2016-02-04 12:16:00.000,2016-02-04 12:21:00.000,2016-02-04 12:25:00.000,C2.4,0
2016-02-04 14:34:00.000,2016-02-04 14:42:00.000,2016-02-04 14:48:00.000,C2.1,0
2016-02-04 16:44:00.000,2016-02-04 16:49:00.000,2016-02-04 16:53:00.000,C3.6,0
2016-02-04 18:15:00.000,2016-02-04 18:22:00.000,2016-02-04 18:28:00.000,C5.1,2494
2016-02-04 19:46:00.000,2016-02-04 19:55:00.000,2016-02-04 19:59:00.000,C1.1,2490
2016-02-04 22:39:00.000,2016-02-04 22:44:00.000,2016-02-04 22:48:00.000,B8.6,2494
2016-02-05 00:29:00.000,2016-02-05 00:33:00.000,2016-02-05 00:40:00.000,C1.4,0
2016-02-05 00:49:00.000,2016-02-05 00:56:00.000,2016-02-05 01:03:00.000,C3.0,2494
2016-02-05 03:22:00.000,2016-02-05 03:26:00.000,2016-02-05 03:32:00.000,B8.4,2496
2016-02-05 07:15:00.000,2016-02-05 07:22:00.000,2016-02-05 07:30:00.000,C2.9,2494
2016-02-05 08:45:00.000,2016-02-05 08:50:00.000,2016-02-05 08:59:00.000,B9.3,2494
2016-02-05 13:05:00.000,2016-02-05 13:11:00.000,2016-02-05 13:17:00.000,C1.1,2496
2016-02-05 18:02:00.000,2016-02-05 18:07:00.000,2016-02-05 18:13:00.000,B7.7,2496
2016-02-05 19:00:00.000,2016-02-05 21:20:00.000,2016-02-06 00:15:00.000,C1.1,2494
2016-02-06 02:40:00.000,2016-02-06 03:11:00.000,2016-02-06 03:30:00.000,C1.1,2494
2016-02-06 02:48:00.000,2016-02-06 03:11:00.000,2016-02-06 03:35:00.000,C1.2,2494
2016-02-06 03:56:00.000,2016-02-06 04:21:00.000,2016-02-06 04:38:00.000,B8.6,2494
2016-02-06 15:48:00.000,2016-02-06 15:51:00.000,2016-02-06 15:53:00.000,B6.6,2494
2016-02-06 19:33:00.000,2016-02-06 19:38:00.000,2016-02-06 19:42:00.000,C1.0,2494
2016-02-06 21:48:00.000,2016-02-06 21:51:00.000,2016-02-06 21:53:00.000,B7.8,2494
2016-02-06 22:37:00.000,2016-02-06 22:44:00.000,2016-02-06 22:48:00.000,C1.5,2494
2016-02-07 01:52:00.000,2016-02-07 01:58:00.000,2016-02-07 02:03:00.000,B8.2,2494
2016-02-07 04:39:00.000,2016-02-07 04:45:00.000,2016-02-07 04:49:00.000,C1.7,2496
2016-02-07 06:55:00.000,2016-02-07 06:58:00.000,2016-02-07 07:01:00.000,B7.0,2495
2016-02-07 10:29:00.000,2016-02-07 10:35:00.000,2016-02-07 10:41:00.000,C1.1,2496
2016-02-07 11:54:00.000,2016-02-07 12:00:00.000,2016-02-07 12:12:00.000,C2.7,2496
2016-02-08 03:44:00.000,2016-02-08 03:47:00.000,2016-02-08 03:50:00.000,B6.4,0
2016-02-08 05:22:00.000,2016-02-08 05:29:00.000,2016-02-08 05:43:00.000,C1.6,2492
2016-02-08 08:49:00.000,2016-02-08 08:52:00.000,2016-02-08 08:54:00.000,B5.7,2497
2016-02-08 16:13:00.000,2016-02-08 16:18:00.000,2016-02-08 16:31:00.000,B7.8,2492
2016-02-09 00:26:00.000,2016-02-09 00:31:00.000,2016-02-09 00:39:00.000,B7.4,2492
2016-02-09 01:25:00.000,2016-02-09 01:35:00.000,2016-02-09 01:46:00.000,B6.9,2494
2016-02-09 02:27:00.000,2016-02-09 02:35:00.000,2016-02-09 02:42:00.000,B7.9,2492
2016-02-09 03:09:00.000,2016-02-09 03:14:00.000,2016-02-09 03:20:00.000,B6.2,2492
2016-02-09 03:54:00.000,2016-02-09 04:00:00.000,2016-02-09 04:03:00.000,B6.0,2492
2016-02-09 05:25:00.000,2016-02-09 06:48:00.000,2016-02-09 07:40:00.000,C1.3,0
2016-02-09 05:58:00.000,2016-02-09 06:01:00.000,2016-02-09 06:06:00.000,C1.0,2498
2016-02-09 11:58:00.000,2016-02-09 12:06:00.000,2016-02-09 12:21:00.000,B5.6,2494
2016-02-09 12:24:00.000,2016-02-09 12:28:00.000,2016-02-09 12:33:00.000,B6.7,2492
2016-02-09 17:44:00.000,2016-02-09 17:47:00.000,2016-02-09 17:49:00.000,B5.6,2495
2016-02-09 19:26:00.000,2016-02-09 19:39:00.000,2016-02-09 19:47:00.000,B9.1,2494
2016-02-09 21:51:00.000,2016-02-09 22:05:00.000,2016-02-09 22:08:00.000,B6.2,2497
2016-02-10 02:43:00.000,2016-02-10 02:50:00.000,2016-02-10 02:55:00.000,B9.1,2497
2016-02-10 07:50:00.000,2016-02-10 08:01:00.000,2016-02-10 08:08:00.000,B6.3,2497
2016-02-10 14:39:00.000,2016-02-10 14:42:00.000,2016-02-10 14:44:00.000,B4.0,2497
2016-02-10 15:12:00.000,2016-02-10 15:22:00.000,2016-02-10 15:34:00.000,C1.3,2497
2016-02-10 20:41:00.000,2016-02-10 20:48:00.000,2016-02-10 21:03:00.000,B5.9,2496
2016-02-10 22:29:00.000,2016-02-10 22:35:00.000,2016-02-10 22:43:00.000,B5.8,2496
2016-02-11 04:08:00.000,2016-02-11 04:13:00.000,2016-02-11 04:19:00.000,B4.7,2497
2016-02-11 16:22:00.000,2016-02-11 16:49:00.000,2016-02-11 17:04:00.000,C2.6,2497
2016-02-11 20:18:00.000,2016-02-11 21:03:00.000,2016-02-11 21:28:00.000,C8.9,2497
2016-02-11 23:54:00.000,2016-02-11 23:59:00.000,2016-02-12 00:02:00.000,C1.2,2492
2016-02-12 00:49:00.000,2016-02-12 00:53:00.000,2016-02-12 00:56:00.000,C1.2,2497
2016-02-12 06:27:00.000,2016-02-12 06:36:00.000,2016-02-12 06:55:00.000,C2.1,2492
2016-02-12 07:59:00.000,2016-02-12 08:12:00.000,2016-02-12 08:24:00.000,B8.3,2497
2016-02-12 10:36:00.000,2016-02-12 10:47:00.000,2016-02-12 10:53:00.000,M1.0,2497
2016-02-12 17:10:00.000,2016-02-12 17:21:00.000,2016-02-12 17:27:00.000,C6.8,2497
2016-02-12 21:05:00.000,2016-02-12 21:10:00.000,2016-02-12 21:20:00.000,B7.5,2497
2016-02-12 22:04:00.000,2016-02-12 22:15:00.000,2016-02-12 22:25:00.000,B7.7,2497
2016-02-12 22:34:00.000,2016-02-12 22:39:00.000,2016-02-12 22:43:00.000,C3.0,2497
2016-02-13 00:20:00.000,2016-02-13 00:26:00.000,2016-02-13 00:32:00.000,B8.9,2497
2016-02-13 00:59:00.000,2016-02-13 01:00:00.000,2016-02-13 01:06:00.000,B8.0,2497
2016-02-13 06:46:00.000,2016-02-13 06:50:00.000,2016-02-13 06:54:00.000,B6.6,2497
