,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Peak Time NoSub,Peak Time,Background End Time,Fancy Temp,Fancy EM,Peak Temp,Peak EM,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Temp 1/6,EM 1/6,Temp 1/4,EM 1/4,Temp 1/3,EM 1/3,Temp 1/2,EM 1/2,Temp 2/3,EM 2/3,Temp 3/4,EM 3/4
0,2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,850.36092,-298.99632,2473,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:38:40,9.190036291921325,3.7754729893328116e+46,8.420723155811585,2.3952633315828627e+47,9.621558510194347,2.3952633315828627e+47,7.504261987448903,4.949067342675607e+46,8.173856437953775,4.2937622727035447e+46,8.244243712942007,4.318521038308448e+46,8.296767315882134,4.988891828827088e+46,8.212632010492596,6.915242273074606e+46,8.430562480054622,8.719571326590101e+46,8.500825308907814,9.301601639670666e+46
1,2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,855.34758,-282.6777,2473,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:31:50,10.4491683502784,2.3436286485237765e+47,11.442615346196762,1.188968292274498e+48,11.817474919115732,1.188968292274498e+48,13.423842450769001,6.573883706760418e+45,12.959884149145081,8.536255643574367e+45,12.401176079036155,1.2737597530997907e+46,11.571938944190041,2.1793930485797546e+46,10.666536946552018,3.5799456943816595e+46,10.654628765561759,8.902842340339937e+46,10.728509175465138,1.2738639792254964e+47
2,2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,883.41276,-286.433646,2473,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:37:50,9.821078014408739,2.5788191752477334e+47,9.92583170185825,1.468008215108201e+48,11.261275584932827,1.468008215108201e+48,10.146105938592001,6.798933479245346e+46,9.94147846281919,8.516627191986691e+46,9.896853719342447,1.4118939407552953e+47,10.015603759451867,1.945199647574604e+47,10.335434731211846,3.294625215993911e+47,10.518114280237507,4.791069144760231e+47,10.563675538126358,5.420904195863975e+47
3,2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,872.98962,-284.654142,2473,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:31:50,9.262072169351892,2.9841020688458553e+47,8.798104225422382,4.223461842878352e+47,9.280960568825355,4.223461842878352e+47,8.55562522334564,4.1544719286131527e+46,8.656288661256854,4.666905851162613e+46,8.9911461388927,6.706198058159215e+46,9.056464734101723,8.942001634806424e+46,9.17519461129161,1.4137124038584439e+47,9.196854093962516,1.8201023200696753e+47,9.17717860310582,1.9638077069527436e+47
4,2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,872.85366,-318.52686,2473,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:19:20,7.312995642374468,8.053504883228523e+46,8.270183696651392,2.1871000967663937e+47,8.672838010698813,2.1871000967663937e+47,18.42716617324171,6.375366687928541e+44,18.42716617324171,6.375366687928541e+44,18.42716617324171,6.375366687928541e+44,18.42716617324171,6.375366687928541e+44,12.427536207302207,2.0867795187732386e+46,10.09153827509128,6.056067079141214e+46,10.09153827509128,6.056067079141214e+46
5,2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,870.3405,-352.009296,2473,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:27:00,8.302803383450991,7.178710873153531e+46,11.029696162102898,1.614967871146144e+48,12.058664906800919,1.614967871146144e+48,6.424179371422838,4.749361144954429e+46,6.424179371422838,4.749361144954429e+46,7.620626758182285,4.598617164484538e+46,7.899585888035658,5.191640088615537e+46,8.17242592181111,1.1218136579624883e+47,8.793957436369402,2.4970811224456926e+47,9.034730160142555,3.085847028059537e+47
6,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,2016-01-01 23:08:10,9.898179798725781,4.129873509190444e+47,10.469291976392606,1.5153470284790475e+49,11.817138616637436,1.5153470284790475e+49,10.080712398033706,4.744235727725869e+47,10.238123845365143,6.818666299701756e+47,10.276811264383497,1.1629734604152728e+48,10.247218887901361,1.6476361176131285e+48,10.434193871993667,2.5806540688112447e+48,10.738548976175961,3.701761141827146e+48,10.843548336816161,4.358778764495006e+48
7,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,2016-01-01 23:08:10,9.898179798725781,4.129873509190444e+47,10.469291976392606,1.5153470284790475e+49,11.817138616637436,1.5153470284790475e+49,10.080712398033706,4.744235727725869e+47,10.238123845365143,6.818666299701756e+47,10.276811264383497,1.1629734604152728e+48,10.247218887901361,1.6476361176131285e+48,10.434193871993667,2.5806540688112447e+48,10.738548976175961,3.701761141827146e+48,10.843548336816161,4.358778764495006e+48
8,2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,-595.24614,-109.382712,2476,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:21:40,10.121906959859851,6.00720111857625e+46,10.42682447554023,1.1508715797257298e+47,10.42682447554023,1.2523673086438723e+47,13.976645143990309,7.59372980574769e+45,12.965557888549787,1.1875402078184792e+46,11.57953332984502,2.430807642594946e+46,10.48923890193456,4.5480436877070477e+46,10.121906959859851,6.00720111857625e+46,9.828714566095432,7.363669911297498e+46,9.720505027736824,7.832761109037609e+46
9,2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,-217.024158,224.278872,0,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:19:00,7.86093774249136,6.051187337580241e+46,8.62373113415993,1.6245546936231938e+47,8.74676985960174,1.6906910658437397e+47,9.253202415824061,8.761092795260162e+45,8.272600481268677,1.9833266086501407e+46,8.087785986735335,2.4443838596555096e+46,8.053986851800095,3.2823763455011117e+46,8.100278105833853,6.41564948753254e+46,8.048770776737104,8.428838443972908e+46,8.055171847974842,9.800286350681646e+46
